,Layers,Training,Validation,Development,Test,Total
0,"(776, 190, 311, 575, 540, 152, 781, 371)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
1,"(489, 418, 175)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
2,"(288, 273, 499, 375, 270, 18, 479, 561, 845, 562)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
3,"(785, 367, 822)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
4,"(29,)",0.9978012442588806,0.9976905584335328,0.9977766275405884,0.9948453903198242,0.9970755577087402
5,"(781, 704, 836, 142, 441, 231, 75, 617)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
6,"(555, 234, 130, 179, 293, 645, 247)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
7,"(670, 692, 287, 32, 456, 892, 84)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
8,"(462, 44, 71, 331, 59, 584, 285)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
9,"(460, 737)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
10,"(107, 157, 692, 95, 682, 248)",0.9995602369308472,0.9984603524208068,0.9993159174919128,0.9948453903198242,0.998306930065155
11,"(160, 301, 835, 664, 706, 144)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051576,0.998306930065155
12,"(89,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
13,"(96, 891, 263, 270, 196)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
14,"(176, 285, 17, 783, 215)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
15,"(247, 417, 445, 254, 495, 663)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
16,"(778, 112, 486, 421, 636)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
17,"(740, 535, 445)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
18,"(325, 382, 300)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
19,"(202, 672, 122)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
20,"(641,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
21,"(117, 534, 748, 120, 435)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
22,"(708, 168, 648, 233, 91, 607, 170, 278)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
23,"(200, 646, 373, 309, 52, 570, 501, 436)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
24,"(870, 82, 310, 462, 513)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
25,"(325, 585, 407)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
26,"(350, 636, 28)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
27,"(520, 469, 131, 339, 478)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
28,"(735, 803, 854, 768, 468)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
29,"(444, 232, 569, 191, 96, 472, 126, 560)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
30,"(354, 899, 426, 712, 193, 785, 801, 209, 559)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
31,"(159,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
32,"(61, 436, 102, 635, 672, 627)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
33,"(880, 194, 713, 819, 124)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
34,"(354, 78, 207, 86, 812, 886, 763, 853, 703)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
35,"(241, 888, 429, 704)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
36,"(593, 66, 668, 553, 24)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051576,0.998306930065155
37,"(460, 531, 75, 659, 366, 155, 312, 454)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
38,"(72, 161, 48, 665, 425, 129, 816, 796)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
39,"(229, 512, 385, 397, 183, 646, 866)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
40,"(770, 364, 580, 294, 313, 413)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
41,"(323, 381, 704, 309, 245, 356, 376)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
42,"(773, 575)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
43,"(573, 474, 673, 354)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
44,"(363,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
45,"(730, 526, 591, 327)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
46,"(695, 24, 722, 573, 334, 884, 483, 815, 473, 411)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9935566782951356,0.9981529712677002
47,"(57, 630, 802, 306, 274, 51)",0.9995602369308472,0.9984603524208068,0.9993159174919128,0.9935566782951356,0.99799907207489
48,"(75, 43, 517, 824)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
49,"(130, 60, 71, 666, 109)",0.9995602369308472,0.9984603524208068,0.9993159174919128,0.9935566782951356,0.99799907207489
50,"(706, 762, 328)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
51,"(386, 569, 111, 332, 502, 895, 797, 268, 204, 688)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
52,"(305, 558, 583, 303, 170, 820)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
53,"(752, 130, 76, 345, 282, 552, 85, 566)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
54,"(704, 467, 740, 120, 465)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
55,"(845, 504, 30, 308, 685, 507)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
56,"(114, 810, 871, 575, 292)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
57,"(100, 810, 649, 292, 175, 53, 256, 709, 711)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
58,"(384,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
59,"(81, 553, 269, 585, 120, 40, 227, 146, 393)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
60,"(704, 25, 372, 691, 610, 427)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
61,"(377, 713)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
62,"(734, 608, 571, 758, 298, 620, 888, 263, 127)",0.9995602369308472,0.9984603524208068,0.9993159174919128,0.9942010045051576,0.9981529712677002
63,"(196, 512, 197, 547, 622)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
64,"(717, 619, 357, 48)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
65,"(821, 772, 866, 86, 671, 631, 269, 117, 690)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
66,"(717, 66, 873, 34, 295, 115, 269, 758, 856, 40)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9929123520851136,0.99799907207489
67,"(373, 814, 38, 772, 238, 767, 775)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
68,"(498, 505, 317, 444, 174, 588, 367, 89, 470, 353)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
69,"(105, 317, 753, 891, 200, 634, 542)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
70,"(334, 777, 783, 181, 826, 660)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
71,"(563, 593, 447, 773, 209, 251, 174)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051576,0.998306930065155
72,"(421, 517, 481, 643, 347, 336)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
73,"(538, 523, 594, 604, 622, 801, 122, 48, 86, 814)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
74,"(897, 197)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
75,"(809, 897, 82, 848, 248, 829, 699, 335, 375, 550)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
76,"(738, 649, 571, 400, 846)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
77,"(512, 313, 594, 726, 187, 773, 365)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
78,"(678, 214, 410, 342, 204, 595)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
79,"(806, 809)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
80,"(704,)",0.9982410073280334,0.9976905584335328,0.9981186985969543,0.9948453903198242,0.9973834156990052
81,"(405, 795, 741, 710)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
82,"(437, 218, 402, 865, 100, 657)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579652
83,"(875, 147, 241)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
84,"(673, 290, 869, 353, 616, 125)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
85,"(51, 725, 589, 280, 276, 341)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
86,"(260, 184, 393, 257, 401, 70, 893, 526)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
87,"(162,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
88,"(359, 458, 618, 810, 57, 43)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
89,"(55, 401, 52, 625, 881, 447, 504, 353, 752)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
