,Layers,Score Train,Score Validation,Score Dev,Score Test,Score Total
0,"(400, 599, 175, 664, 451, 233, 687, 670)",0.9033625766319772,0.8710799554415616,0.9007092012058414,0.9164140820117146,0.9043059375431172
1,"(764,)",0.8927646028166014,0.8355842485621694,0.8878028273807486,0.9185228527570678,0.8967082814905347
2,"(492, 536, 714, 493, 259, 491, 565, 670, 291)",0.9315357061058152,0.8781794096548972,0.926776261863984,0.9221231262521564,0.9257686590033518
3,"(614, 370, 666, 401, 319, 488, 149, 48)",0.9228186492517902,0.8739231196013224,0.9185162909752028,0.9205076208038184,0.9190688134555116
4,"(695,)",0.9014248158427622,0.8624058347293628,0.8981430672368522,0.9043094270484588,0.8998763021053269
5,"(582, 248, 243, 580, 625, 747)",0.9028261958953974,0.8629976315609271,0.89946223132455,0.9174896446323728,0.9037108127743394
6,"(589, 340, 198)",0.9132774979416479,0.8561893819711417,0.9082403713124472,0.9336734300582612,0.9147309464226812
7,"(684, 398, 758, 701, 493, 47, 527)",0.9106214453523994,0.8871528636922641,0.908770893576118,0.9093558430605664,0.908112074560878
8,"(765, 150, 281, 235, 247, 212, 281)",0.9091601419718249,0.8802812712768282,0.9068045246601536,0.9222114832919726,0.9105570598955984
9,"(128, 162, 322, 395, 287, 111, 750, 612, 141, 560)",0.903088741339004,0.8875885449350877,0.902021750403186,0.9005671183748264,0.9009567938620584
10,"(627, 618, 191, 411, 451, 585)",0.9194787368967444,0.8726743976109066,0.9153875990794864,0.9287987927510528,0.9188889878488692
11,"(797,)",0.8918844827518728,0.8364757762718222,0.8870936634019064,0.9182799224462509,0.8949638490701382
12,"(286, 157, 216)",0.8950527001791444,0.8218683995239782,0.8885698204065793,0.914404697775454,0.8961997324991964
13,"(744, 694)",0.919608986335378,0.8761691816505478,0.9158351275658916,0.9129885643550958,0.914601642481116
14,"(274, 76, 717, 253, 447)",0.8869297733831634,0.8466751146551991,0.8835907052802509,0.9289764417897268,0.8950277630673539
15,"(312, 467, 629, 560, 254, 534)",0.9060205323229334,0.8648912720247537,0.9025206137173314,0.9239598372787295,0.9077280783360604
16,"(190, 161)",0.9120966518207354,0.8529238755632114,0.9068674481025462,0.91089283682838,0.9088590768816656
17,"(52, 608, 697, 656, 39, 336, 492, 483)",0.9177104164227586,0.8725421500803257,0.9137810682760098,0.920101773257558,0.9156853629902838
18,"(736, 441, 707, 394, 527, 574)",0.9056215900096708,0.8797881003816332,0.9035681397408076,0.9226472785550786,0.907393180000328
19,"(278,)",0.8844247607551535,0.8118011651291968,0.8780383994019342,0.8906781305787876,0.8826668925651322
20,"(616, 622, 105, 669, 754, 144, 56)",0.9080243201326188,0.8681366662851504,0.904633471528797,0.9209891027322512,0.9084471413925966
21,"(74, 640, 117, 121)",0.9066587556833868,0.8581841919076776,0.9024623866389699,0.8931944605386378,0.8997857887823681
22,"(641, 272, 686, 200)",0.9093742934394621,0.8563511756539621,0.9047371409324724,0.9215308666483432,0.9089419101870188
23,"(478, 225, 223, 749)",0.8972434081033107,0.8761432225743763,0.895671398837617,0.914392683927294,0.8994729160015582
24,"(257, 409, 727, 788, 183)",0.9148874733684416,0.8837612545938132,0.9122961010983252,0.9306816046429104,0.9164067216108084
25,"(181, 57, 313, 203, 141, 369)",0.8678968879961344,0.8267065373484447,0.8645474335008,0.8943739686179142,0.8720213281879061
26,"(546, 178, 246, 404, 135, 104, 511, 437)",0.9193854732820056,0.8796936911286783,0.9159665674588569,0.9194117140303856,0.9164662814341906
27,"(775,)",0.8940151363410992,0.8504479016542156,0.8903341268517494,0.903730936120306,0.8938945111486356
28,"(441, 445)",0.9126283275954732,0.8542665234718243,0.907473549173372,0.9103290160506066,0.9084225907153922
29,"(364, 668, 552)",0.9256158095768184,0.8800806759776117,0.9216194101420354,0.9137900909736764,0.919062585528756
30,"(356, 263, 132, 232, 625, 264, 691)",0.9013728660610116,0.8626652015568442,0.8981207372145004,0.9168106127063256,0.9025529975923487
31,"(670, 412, 428, 345, 169, 772, 263, 463)",0.9174916657321458,0.8737746262756919,0.91370029645942,0.9250510310220248,0.9168992896160916
32,"(452, 303, 460, 784, 41)",0.9272420581013384,0.8875044324638611,0.9237866248110131,0.9294594516515318,0.9247189007300936
33,"(233, 503, 697)",0.9129752842283986,0.8881983114968001,0.9109914959869656,0.9237216142194656,0.9136077508398824
34,"(775, 23)",0.9133146881828358,0.8342805412135059,0.9062043943276048,0.9074052484691676,0.9075488557793616
35,"(305, 567, 298, 323, 47, 591)",0.90278191564079,0.8787775184002129,0.9009128781155546,0.9147519036887412,0.903361326156202
36,"(507, 687, 697, 301, 209, 119, 408, 555, 217)",0.9313280548562306,0.8886354972495176,0.9275767548288428,0.9222234165257358,0.9260302182683964
37,"(294, 578, 156, 291, 639)",0.9116902670040972,0.8793931630256229,0.909001395791886,0.9220993400059236,0.9119715542425724
38,"(589, 415, 529)",0.9142716547077516,0.8556393770176409,0.909084592915686,0.9219834043663198,0.9123912916620016
