Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 1, 1)",10,0.38430026173591614,0.20700596272945404,0.04836868867278099,0.3886166214942932
"(7, 2, 1)",19,0.3615873157978058,0.15743768215179446,0.1180095672607422,0.4091867506504059
"(7, 2, 1, 1)",21,0.31568339467048645,0.6223257780075073,0.06753580272197722,0.4885838925838471
"(7, 2, 1, 1, 1)",23,0.3030645847320557,0.2230837494134903,0.07109591364860535,0.4622817933559418
"(7, 2, 2, 1)",25,0.3031772971153259,0.3013375699520111,0.1231190338730812,0.3683243989944458
"(7, 2, 1, 1, 1, 1)",25,0.6663081645965576,0.4943967759609222,0.16145068407058716,0.6686168313026428
"(7, 2, 1, 2, 1)",26,0.30328404903411865,0.2337712347507477,0.04417954757809639,0.3731050789356232
"(7, 2, 2, 1, 1)",27,0.32418033480644226,0.6591786742210388,0.06865447759628296,0.3981216251850128
"(7, 2, 1, 1, 1, 1, 1)",27,0.29453229904174805,0.1757178008556366,0.036176111549139016,0.3772678971290589
"(7, 2, 1, 1, 2, 1)",28,0.32714447379112244,0.18980731070041654,0.03449349105358124,0.4387085735797882
"(7, 2, 1, 2, 1, 1)",28,0.29100096225738525,0.5283204317092896,0.0680142268538475,0.4336851239204407
"(7, 3, 1)",28,0.30777069926261896,0.3473591506481171,0.06479905545711517,0.3758471608161926
"(7, 2, 2, 1, 1, 1)",29,0.3037574887275696,0.3587801158428192,0.1018962264060974,0.3575765788555145
"(7, 2, 1, 3, 1)",29,0.3091636300086975,0.18780110776424408,0.06737509369850159,0.3963217437267304
"(7, 2, 3, 1)",29,0.3316113948822021,0.25138670206069946,0.13150915503501892,0.473750650882721
"(7, 2, 1, 2, 1, 1, 1)",30,0.30576011538505554,0.2093526273965836,0.036616794764995575,0.41485396027565
"(7, 3, 1, 1)",30,0.3258220851421356,0.25965458154678345,0.033295001834630966,0.4253091216087341
"(7, 2, 1, 1, 1, 2, 1)",30,0.33252817392349243,0.17806382477283478,0.0587168037891388,0.3653106987476349
"(7, 2, 1, 1, 2, 1, 1)",30,0.30530479550361633,0.2057887464761734,0.13542097806930542,0.379328191280365
